,SID,lemmatized,negative - AMBIENCE#GENERAL,negative - DRINKS#PRICES,negative - DRINKS#QUALITY,negative - DRINKS#STYLE_OPTIONS,negative - FOOD#PRICES,negative - FOOD#QUALITY,negative - FOOD#STYLE_OPTIONS,negative - LOCATION#GENERAL,negative - RESTAURANT#GENERAL,negative - RESTAURANT#PRICES,negative - SERVICE#GENERAL,neutral - AMBIENCE#GENERAL,neutral - DRINKS#PRICES,neutral - DRINKS#QUALITY,neutral - FOOD#PRICES,neutral - FOOD#QUALITY,neutral - FOOD#STYLE_OPTIONS,neutral - LOCATION#GENERAL,neutral - RESTAURANT#GENERAL,neutral - RESTAURANT#PRICES,neutral - SERVICE#GENERAL,positive - AMBIENCE#GENERAL,positive - DRINKS#QUALITY,positive - DRINKS#STYLE_OPTIONS,positive - FOOD#PRICES,positive - FOOD#QUALITY,positive - FOOD#STYLE_OPTIONS,positive - LOCATION#GENERAL,positive - RESTAURANT#GENERAL,positive - RESTAURANT#MISCELLANEOUS,positive - RESTAURANT#PRICES,positive - SERVICE#GENERAL
29,1006:3,orta güzel özellikle rahat oturmak köşeleri👌 esas kahve sever oldugum icin cok tercih ettigim mekân değmek degisiklik icin guzel olmak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,1007:0,yoğ olmak gün cumartes pazar gitmek tavsiye etmek,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,1007:2,şube iyi pendik merkez an şube iyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,1008:0,bugün dışarı yemek lezzet kurufasülyeci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33,1008:2,fasulye ağız dağılmak âdeta lokum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
34,1008:3,duymak kadar su değmek süt beklemek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1008:4,yanında turşu cacık yoğurtlamak harika,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,1008:5,pilâv lezzet mis tereyağ kokmak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,1008:6,final sütlaçla yapmak tavsiye etmek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,1008:7,sütlâç enfes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39,1009:0,hard rock cafe sır beklemek oturmak alışık değil avrupa amerika dakilerle aynı duygu vermek sebeple lezzet aynı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
40,1009:1,atıştırmak jumbo combo yummy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,1010:0,deniz ürün başarı,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,1010:1,manzara mükemmel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,1010:2,bütün i̇stanbul güzel yoğun hissetmek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
44,1010:3,dış öğrenci mekân değmek,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1010:4,özel gün gitmek küçük kutlamak yapmak yer,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1011:0,rahat sohbet etmek istemek orta mükemmel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
47,1011:1,çalmak müzik kıvam rahat etmek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
48,1011:2,yemek lezzet manzara mükemmel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
49,1011:3,hesap abartı gelmek balık yemek kişi baş lira fazla ödemek itiraz etmek gerekmek,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1012:0,kalabalik zaman servis fazlasiyla aksiyor,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1012:1,bosken soylemis oldugum makarna hizli gelmek mekanin dolmasiyla arkadasimin soylemis oldugu siparis unutmak defalarca hatirlatma yapmamiz gerekmek,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1012:2,ayrica masalarin fazla ic ice olmasi zaman zaman rahatsiz olmaniza olmak,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1013:0,kış ay içeri sıcak loş işık ortam güzel yemek yemek yazmak dışarı harika çilek magnolia tatmak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
54,1013:1,i̇çinizi serinlemek enfes tat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,1014:0,garson suratsiz,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1014:1,methetmek hakketmek,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,1014:2,kasarli köfte iç kasmak köfte ustasi geçinmek yer,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,1014:5,islemek sahib kâp,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,1014:6,kasarli köfte tanimimiz böyle demek sade,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1014:7,müsteri memnuniyet sifir,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1015:0,yıl sampi si can pi istemek ev sipariş tercih etmek yer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
62,1015:1,zaman keşke başlangıç menü yer almak,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1015:2,beşiktaş otobüs durak arka olmak dolayı ulaşım kolay fiyat makul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
64,1015:4,çıtır pi seven dolayısıyla sipariş vermek özellikle rica et gerçek çitir çitir pi gelmek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
65,1015:5,maalesef birlik gitmek arkadaş sevmek çıtır pide o çıtır gelmek,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1015:8,tat paket servis iyidi netice beklemek yem imkân,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
67,1015:9,malzeme bol porsiyon kıvam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
68,1016:0,beşiktaş in göbek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,1016:2,deney maalesef olumlu olmak,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1016:4,sevmek yemek kenar orta leziz,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
73,1016:5,başlangıç menü başlangıç yer ala lahmacun an yiyecek pide geçmek gelmek olmak ayrı bi duru,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,1016:6,yemek yemek fazla vakit bütçe sarsmak keyif yemek yemek yetmek karın doymak düşünmek çarşı nın göbek sampi gayet ideal,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
75,1017:4,sicak iceceklerde servis agir kahvalti icin tercih edilwbilir lezzet gore fiyat yuksek kaliyor,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,1018:0,mutlaka haf önceden rezarvasyon yapmak iyi rum meyhane yemek başarı olmak şahane manzara mekân büyük olay sürek i̇kram yapmak pahalı olmak rağmen hak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
77,1018:1,mutlaka ızgara mantar istakoz kavurma deney gitmek hiçbir zaman pişman olmak ender yer biri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
78,1019:0,baliklarin yanina rum ermeni mutfagindan meze yakisiyor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
79,1019:1,kuskonmaz somo sarmak kagitta balik pastirma kesinlikle denemek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
80,1020:0,caylar harika,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
81,1020:2,vanilla portakal aromasina doyamayacaginiz harika lezzet olmus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,1020:3,orta muhabbet etmek icin gayet guzel manzara beklenti bask yer tercih etmek,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
83,1020:4,tamina farkli cesit caymak bulabileceginiz mekani ziyaret etmek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
84,1021:0,hoş bi mekân sevmek gitmek ayrılmak memnuniyet ayrılmak zaman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,1021:1,özellikle akşamları gitmek tavsiye eder köprü hisar işık yanmak ayrı bi zevk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
86,1021:2,hemde can müzik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
87,1022:0,iyi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1022:1,buranin doneri demek efsane degil,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1022:2,et yagli kokmak in dilinmis kotusu ara saat gecmesine ragmen migdem bulaniyor,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1022:3,ortami begenmedim kalabalik sinif yer,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1023:0,et lezzet mekân gösteriş,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
93,1023:1,sunu resmen sıfır,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1023:2,tl almak hamburger düzmek beyaz tabak koymak öte gitmek bence,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1023:3,havuç dilim aşırı yağ şerbet,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,1023:4,yaramak özel yan yok,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1024:0,pazar günü kahvaltı dış servis yapmak big chefs,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1024:1,kahvaltı sonra kahve içmek gitmek kapı dönmek saat du şaka sand an,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1024:2,olmak big chefs zincir,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1025:2,menude yazilmis olmasina ragmen tavuk wrapimiz patates gelmek neden sordugumuz patates kaldirdiklarini menulerini henuz degistirmediklerini soylediler,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1025:3,gelen tavuk wrapten dakika kofte duru istemek ragmen tavuk sis dürümu gelmek duru soyledik degistirdiler,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1025:4,tavuklar kupkuru kofte duru siradandi,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1025:5,ikisininde yanindaki yesillikler susmak icin konulmus yemek kalktigimizda aci bi tat karsilastik,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1025:6,zeytinyagli tabagi soyledik icinde fasulye barbunya biber dolmasi sarmak saksuka varit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1025:7,tadlari yer koymak icin bayagi bi zorlamislar kendi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106,1025:8,fiyat normal servis cok yavaş tuvalet pis,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
107,1026:0,güzel tek sey manzaraydi evet çocuk oyun alani bakimsiz servis elemanlari suratsiz hele omlet yapmak bayan oturdugum masa dip gelen surat tavir böyle birsey görmek,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
108,1026:1,açik büfe kahvaltisi evet çesit çok sunu tatmin etmek temiz hijyen hissî uyandirmadi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
109,1027:0,hos mekân mekân yaklasik aydir tuzlamak,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
110,1027:1,gitmek iyi yer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
111,1027:2,ilk açildigi aymak gittigimizde memnun kalmistik sonra gidislerimizde servi fazla aksadigina garsonlarin yogunluk neden ilgilenmek gözlemlemek,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1027:3,sayida garson çalisiyor mekân dolu olunca yetmek,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,1027:5,klâsik donmak spesiyal tatlililari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1028:0,i̇nternet arastirip gittigim yer maalesef beklenti karsilamadi,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1028:1,garson istediginiz se kere istemek maalesef getirmek,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1028:2,i̇nternet resim göründügü güzel degildi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1029:1,su böregi olmak lezzet imek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
118,1029:2,çay kötü mü,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1029:3,hayir taze lezzet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
120,1029:4,beklenti üst,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
121,1030:0,yön ideal okul yakin oldugu sikmek gittigimiz yer muhtesemdir manzarasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
122,1030:3,yazin zevk manzara karsi oturmasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
123,1030:4,marmara ögren indirim fiyat uygulamasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
124,1030:5,yüz avantajli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
125,1030:6,gözlem yapmak teyze yil kumpir servi basladilar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
126,1030:7,kuaför ucuz iyi ayrica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
127,1031:0,güzel manzara fiyat performans mutfak yeterli değmek,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
128,1031:1,ün olmak reklâm bağlamak iyi deniz ürün uygun fiyat yemek sürümek yer i̇stanbul,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1031:2,para çok deney şart değmek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130,1032:0,döner güzel ok giderek kalabalik hale sisen restoran omuz o kol kipirdatamadan fe gürültü iç yemek yemek zor kaliyorsunuz,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
131,1033:0,sicak orta yer iyi olmak zevk dösenmis yemek sunu tat açisindan tatmin edi renk mekân,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
132,1033:1,sira beklemek olayi kötü,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,1034:0,aci sevmek uygun mekân degil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
